"Area","Parameter","N_years","50%","2.5%","25%","75%","97.5%","Evidence"
"Åfjord","Lambda",15,-0.5985832535627792,-0.7027336166549071,-0.6379017619703709,-0.5514838953298595,-0.43357689278735334,"**"
"Åfjord","Recruitment",15,0.7029568470953046,0.5238826921695339,0.6437528704076554,0.7588244227102896,0.845238691146654,"**"
"Åfjord","Survival",15,-0.7093772818229844,-0.829858547289325,-0.7573125833007853,-0.6538899690636515,-0.5213687460092037,"**"
"Ålen og Haltdalen Fjellstyre","Lambda",13,-0.35832109915264576,-0.4880275974678837,-0.3935195859081065,-0.32669924003175366,-0.2653771564493125,"**"
"Ålen og Haltdalen Fjellstyre","Recruitment",13,-0.15840633677685398,-0.3670818488410007,-0.22559649719333996,-0.09452427248517369,0.05377353379812061,"*"
"Ålen og Haltdalen Fjellstyre","Survival",13,-0.31162102874404163,-0.44308003650252836,-0.35321805459868383,-0.27048388688840924,-0.18999301443758185,"**"
"Budal Fjellstyre","Lambda",6,-0.4504104688234969,-0.5897195919841175,-0.5012002009258437,-0.39335741208368524,-0.24829686019888098,"**"
"Budal Fjellstyre","Recruitment",6,0.10529769786257648,-0.40558005229235106,-0.08062499158082456,0.28367543112640964,0.5983057500791498,"-"
"Budal Fjellstyre","Survival",6,-0.454533532962027,-0.6442141565627426,-0.5231256894909855,-0.3767143877762821,-0.1909659645872395,"**"
"Dovre Fjellstyre","Lambda",15,-0.7068382112775276,-0.8250403835510904,-0.7491130223898013,-0.6634786787900933,-0.5853323866396349,"**"
"Dovre Fjellstyre","Recruitment",15,0.5910287760679371,0.336634558946242,0.5135065449128897,0.660201051203448,0.7715611514923517,"**"
"Dovre Fjellstyre","Survival",15,-0.6817288467270648,-0.816153007485622,-0.7333605437758312,-0.6225294109893332,-0.47213029306029175,"**"
"Eidfjord Fjellstyre","Lambda",15,-0.4489352973100803,-0.5472605774426502,-0.48313175331742425,-0.4125191262402651,-0.3430050380858859,"**"
"Eidfjord Fjellstyre","Recruitment",15,0.5272348285511759,0.4238930551614561,0.4914404480573736,0.562351472927957,0.6284129001008749,"**"
"Eidfjord Fjellstyre","Survival",15,-0.5357804093856026,-0.657279600864342,-0.5802256148758073,-0.48958168988748874,-0.39832982533315425,"**"
"Engerdal Fjellstyre","Lambda",15,-0.5385879055971059,-0.6201123816755258,-0.5667958668896357,-0.5095096952186089,-0.4554322696537023,"**"
"Engerdal Fjellstyre","Recruitment",15,0.7398473002164969,0.6481089683750807,0.7088755932098854,0.7674676421248297,0.8166834421726089,"**"
"Engerdal Fjellstyre","Survival",15,-0.6554187535602624,-0.7300228955268536,-0.6815201506530452,-0.6271028125761057,-0.5684785637033501,"**"
"Fron Fjellstyre","Lambda",12,-0.6872253925606259,-0.7889270079226081,-0.7256945401574527,-0.6464713410220688,-0.5645226113846866,"**"
"Fron Fjellstyre","Recruitment",12,0.4420932979670663,0.16160554144131922,0.34623442509823527,0.5314449009962093,0.6829831395655217,"**"
"Fron Fjellstyre","Survival",12,-0.7306821423509788,-0.8616647094939391,-0.7807007094297804,-0.6736197985580465,-0.5548767336660929,"**"
"Gausdal Fjellstyre","Lambda",15,-0.7420762524709701,-0.8097221210067029,-0.7653985528937348,-0.7185584940839016,-0.6720612601576867,"**"
"Gausdal Fjellstyre","Recruitment",15,0.6369973513792611,0.4993097562360495,0.5918477651607694,0.6804045208763772,0.7539984775955563,"**"
"Gausdal Fjellstyre","Survival",15,-0.6896718650279436,-0.8155526574848352,-0.737471967489695,-0.638509350140353,-0.5237248872078439,"**"
"Helgeland 1","Lambda",15,-0.6279430535738066,-0.7025373563157371,-0.6536390093630527,-0.6028572737408457,-0.5540687375801918,"**"
"Helgeland 1","Recruitment",15,0.7012184232063747,0.5720051671087,0.6592110654430886,0.7399040951141145,0.808103362089118,"**"
"Helgeland 1","Survival",15,-0.7543850589685495,-0.8239228700327692,-0.7790176456462325,-0.7289933864786664,-0.6793320441550735,"**"
"Helgeland 2","Lambda",15,-0.7021101645695019,-0.7668906440187118,-0.7250405692194367,-0.6793059129409241,-0.6345130502310758,"**"
"Helgeland 2","Recruitment",15,0.7196324948753314,0.6078886634923768,0.6821125985886987,0.7540665563833326,0.8137967639900697,"**"
"Helgeland 2","Survival",15,-0.7782312059381655,-0.8370717525335307,-0.7996763176870886,-0.7549889151199705,-0.7039370509883274,"**"
"Helgeland 3","Lambda",15,-0.5828278694621839,-0.6990107233720902,-0.6241302490992235,-0.5374592671072728,-0.44008841644550356,"**"
"Helgeland 3","Recruitment",15,0.41507661609933233,0.2864968233566726,0.3708457407009077,0.4587954296098809,0.5425038046519514,"**"
"Helgeland 3","Survival",15,-0.6294815804080112,-0.750650522313196,-0.6740158067082107,-0.5795877344336233,-0.47442212838379105,"**"
"Indre Finnmark","Lambda",15,-0.563247044283848,-0.631201993881203,-0.5865149796407066,-0.5404397490921025,-0.4980004419505235,"**"
"Indre Finnmark","Recruitment",15,0.756315401087018,0.6626289483978047,0.7248163014874272,0.7857592138764709,0.8365306760136826,"**"
"Indre Finnmark","Survival",15,-0.7413556553335121,-0.8017362677819346,-0.7624027024357446,-0.7196742593985039,-0.6783870685689901,"**"
"Indre Salten","Lambda",15,-0.6441396806132949,-0.723251502679262,-0.6711512152611967,-0.6175195313984985,-0.5657030875414573,"**"
"Indre Salten","Recruitment",15,0.8343314458897251,0.5985991216711863,0.7767583766102968,0.8774523544090937,0.9334961496946849,"**"
"Indre Salten","Survival",15,-0.7641576514464599,-0.8581753166330891,-0.797851341253231,-0.7285218113108066,-0.6526737532302322,"**"
"Kongsvoll","Lambda",13,-0.5517173271871992,-0.6701144780856784,-0.5941055612553989,-0.5139161547441726,-0.45538914340076286,"**"
"Kongsvoll","Recruitment",13,0.4060963092596624,0.1346471071430431,0.3199744124238123,0.4890305093674631,0.6369267121050219,"**"
"Kongsvoll","Survival",13,-0.5481317480892959,-0.6604004274916151,-0.584915112853531,-0.5132648456253581,-0.4432226847089452,"**"
"Kvikne Fjellstyre","Lambda",15,-0.6932472676919137,-0.7560008626053625,-0.7149604539851504,-0.6713038940969607,-0.6294724393864464,"**"
"Kvikne Fjellstyre","Recruitment",15,0.7448173213072264,0.6796100667262216,0.7231412574504064,0.7662206199400985,0.8049570073608806,"**"
"Kvikne Fjellstyre","Survival",15,-0.7051329529650778,-0.765634074065715,-0.7267986794358684,-0.6823274875235711,-0.639426921312179,"**"
"Lesja Fjellstyre","Lambda",15,-0.45799344798663466,-0.5737304420807388,-0.4977002954879295,-0.4186724750297144,-0.34242987952354265,"**"
"Lesja Fjellstyre","Recruitment",15,0.3331583828919783,0.13562231946781309,0.26513469177904025,0.4010409933285552,0.5204917464401232,"**"
"Lesja Fjellstyre","Survival",15,-0.44498916197217087,-0.6008303083689622,-0.5008076795000371,-0.3875236795877173,-0.2601508214719471,"**"
"Lierne Fjellstyre","Lambda",15,-0.2851583560410465,-0.41768200104258796,-0.3260351102265933,-0.24836974776357507,-0.1873407366975881,"**"
"Lierne Fjellstyre","Recruitment",15,0.3005071110387423,0.19436883093328144,0.262356781069932,0.3427555263975231,0.44071962081202454,"**"
"Lierne Fjellstyre","Survival",15,-0.38219954473439716,-0.5099657213156966,-0.42127723253776234,-0.34561266701093396,-0.2826971995904335,"**"
"Midtre Salten","Lambda",13,-0.5451352950202374,-0.628742443506063,-0.5721767310601972,-0.5178964951014471,-0.4627899950873689,"**"
"Midtre Salten","Recruitment",13,0.4344997774786546,0.21980302124156217,0.36508400684439796,0.5025761084322831,0.6203289848755473,"**"
"Midtre Salten","Survival",13,-0.6630216442411372,-0.7542388096536816,-0.6927412960282407,-0.6332332556899083,-0.5710300951490517,"**"
"Namdalseid Fjellstyre","Lambda",5,-0.551384613947467,-0.9586401446499713,-0.7304334891365822,-0.2909893777701318,0.6182816935580592,"*"
"Namdalseid Fjellstyre","Recruitment",5,0.459604036759107,-0.44791205990248334,0.17359638907717412,0.6892664666652386,0.934171712464407,"*"
"Namdalseid Fjellstyre","Survival",5,-0.8410224933962389,-0.994266089985242,-0.9328768731869506,-0.7031011975193573,0.01835266284151285,"*"
"Namskogan Fjellstyre","Lambda",15,-0.44503954879844876,-0.529792356205802,-0.47256893763280056,-0.41953543265367066,-0.3766952478921422,"**"
"Namskogan Fjellstyre","Recruitment",15,0.5101457086569159,0.32298132977728955,0.4501650849636457,0.5673349536253449,0.6682469178350534,"**"
"Namskogan Fjellstyre","Survival",15,-0.6127774380025207,-0.736140877313832,-0.6541649704447641,-0.570957543493664,-0.49552594317992893,"**"
"Njardarheim","Lambda",11,-0.6697102292270718,-0.7672914694552406,-0.7068714362448234,-0.6296964879919276,-0.5408311869406845,"**"
"Njardarheim","Recruitment",11,0.5750164010651124,0.3776071946056621,0.5105109929599977,0.6355373644259347,0.7367255233197737,"**"
"Njardarheim","Survival",11,-0.6199026844262323,-0.7497260096083243,-0.668817551921148,-0.5647579499160257,-0.4333009528142084,"**"
"Nordre Salten","Lambda",5,-0.9093071602765397,-0.996571922445048,-0.9628924618800085,-0.799475828704891,-0.09980257328011102,"**"
"Nordre Salten","Recruitment",5,0.658070819740247,-0.2530256793109523,0.42094471159787455,0.8217748147830726,0.9676607025917899,"*"
"Nordre Salten","Survival",5,-0.8666513168622619,-0.9954254149380478,-0.9468562490937188,-0.7163415504081938,-0.07535920371916038,"**"
"Os Fjellstyre","Lambda",7,-0.7683353339664312,-0.8554507344019033,-0.7973628946866358,-0.7385975429823597,-0.6745518300772165,"**"
"Os Fjellstyre","Recruitment",7,0.7018676456725053,0.4395793710290503,0.6150977652834191,0.777980039597294,0.8895219763160827,"**"
"Os Fjellstyre","Survival",7,-0.7388587935779408,-0.8778610822976751,-0.7858780560013512,-0.69213048041578,-0.5950735863691095,"**"
"Osen Fjellstyre","Lambda",6,-0.7129905532233558,-0.9116984702610955,-0.787121766658471,-0.63690151552762575,-0.483414324067611,"**"
"Osen Fjellstyre","Recruitment",6,0.47433647993347827,-0.2045020797154842,0.2546219776487828,0.6547122301471137,0.8863076518908256,"*"
"Osen Fjellstyre","Survival",6,-0.759785955575931,-0.9431348353352971,-0.8337086873210802,-0.67685690263533,-0.4972385326346882,"**"
"Øst Finnmark","Lambda",15,-0.6959434269620494,-0.7517389510813997,-0.715234050866986,-0.6759400531031887,-0.6361349450368841,"**"
"Øst Finnmark","Recruitment",15,0.6793000230170243,0.5359335587579278,0.6311088143376183,0.7249159272494972,0.8064695035787312,"**"
"Øst Finnmark","Survival",15,-0.7515692043851914,-0.8381740496326067,-0.7818587074494829,-0.7196404729735992,-0.6549186053524462,"**"
"Øvre Numedal Fjellstyre","Lambda",15,-0.21894982019498208,-0.2808759367202975,-0.24081384008743761,-0.19610229720607983,-0.14971918355199368,"**"
"Øvre Numedal Fjellstyre","Recruitment",15,0.5362631206923809,0.4261163269889765,0.4996473863094232,0.5731887209040123,0.6394734124762953,"**"
"Øvre Numedal Fjellstyre","Survival",15,-0.4326554032109975,-0.5252930144341419,-0.463971314607558,-0.40087458177673085,-0.3378673804562343,"**"
"Øystre Slidre Fjellstyre","Lambda",14,-0.7735081041044232,-0.8837681042456511,-0.8146596178211888,-0.72893015584362,-0.6432346967514364,"**"
"Øystre Slidre Fjellstyre","Recruitment",14,0.22952128353051893,0.006599664122915582,0.15097901935550884,0.3054868648318202,0.4437658010512293,"**"
"Øystre Slidre Fjellstyre","Survival",14,-0.6396221736205596,-0.7908939003462787,-0.6959494551429624,-0.5791963047578855,-0.4435851380450424,"**"
"Regionfelt Østlandet","Lambda",7,-0.7897797334896747,-0.9633626289193147,-0.873625978221275,-0.6987227297179553,-0.5625619813618383,"**"
"Regionfelt Østlandet","Recruitment",7,0.36230967025220373,-0.2832665075884551,0.1360756533804353,0.5697101243071329,0.8511331728384317,"*"
"Regionfelt Østlandet","Survival",7,-0.7245920388118443,-0.9458932725545529,-0.8266449748015934,-0.6047312199435502,-0.33756172239283694,"**"
"Ringebu Fjellstyre","Lambda",14,-0.5572662496213248,-0.646374759864556,-0.5865964945314552,-0.5275402933010511,-0.4737943303702526,"**"
"Ringebu Fjellstyre","Recruitment",14,-0.08840019639774166,-0.2390678822689298,-0.14097194471600824,-0.03531134750576592,0.07064743983694904,"*"
"Ringebu Fjellstyre","Survival",14,-0.3860104613592644,-0.5107235700066373,-0.42901176691030257,-0.3419974671098399,-0.25333026693448113,"**"
"Røyrvik Fjellstyre","Lambda",4,-0.9493120491344847,-0.9998217497226347,-0.9839766378919488,-0.8994090462005484,-0.813906577507111,"**"
"Røyrvik Fjellstyre","Recruitment",4,0.9398366233769111,0.6874131123745966,0.8778160980360117,0.9751024091418333,0.9977908861286663,"**"
"Røyrvik Fjellstyre","Survival",4,-0.9180116467320594,-0.9997602211298249,-0.976228717098724,-0.8240202005104648,-0.23355828500046594,"**"
"Selbu Fjellstyre","Lambda",14,-0.5132046435994174,-0.6020072740184932,-0.5431803617262558,-0.4840594708503534,-0.4292390537426159,"**"
"Selbu Fjellstyre","Recruitment",14,0.3534886112559535,0.16562576069820162,0.2897109062129996,0.41791084961824154,0.5315331495867445,"**"
"Selbu Fjellstyre","Survival",14,-0.5278163229935275,-0.6129907945155896,-0.5569934944866353,-0.4982963598515877,-0.43784476032078257,"**"
"Snåsa Fjellstyre","Lambda",14,-0.5335324746726978,-0.7492962392614793,-0.6208838958939874,-0.44900146438712935,-0.29776310225092806,"**"
"Snåsa Fjellstyre","Recruitment",14,0.03420677989367954,-0.13474215709916829,-0.022806695494556977,0.09257222480348679,0.21114681371681018,"-"
"Snåsa Fjellstyre","Survival",14,-0.4366607951131825,-0.6404286936957824,-0.51592474256749,-0.3566664432900269,-0.20812461619325728,"**"
"Soknedal Fjellstyre","Lambda",6,-0.31505235516415786,-0.5288642268485617,-0.3962981815379749,-0.21071673284235715,0.12136862931872835,"*"
"Soknedal Fjellstyre","Recruitment",6,0.11171121021731469,-0.3214287501395902,-0.04356125383187641,0.268699755259691,0.5520082433860385,"-"
"Soknedal Fjellstyre","Survival",6,-0.341652942053939,-0.608077115524005,-0.4389290955879951,-0.2236037454883314,0.09913935366095666,"*"
"Sollia Fjellstyre","Lambda",12,-0.8341345887916873,-0.9229508087943886,-0.8678965970336201,-0.7990774329257035,-0.7250843597158125,"**"
"Sollia Fjellstyre","Recruitment",12,0.2894104724385955,0.02905180924379238,0.20147227095791825,0.3766482929125298,0.5283345856627725,"**"
"Sollia Fjellstyre","Survival",12,-0.7852825284917145,-0.8915118770306245,-0.827012260790951,-0.7365368576414106,-0.6165522673229189,"**"
"Statskog og Klinga utm.","Lambda",10,-0.5508249764595107,-0.714004158979511,-0.6108960713974478,-0.4888385899930976,-0.36684703606494906,"**"
"Statskog og Klinga utm.","Recruitment",10,0.05511216827089911,-0.4446560615359101,-0.12472965224894426,0.24139328769140952,0.585800364124073,"-"
"Statskog og Klinga utm.","Survival",10,-0.4621500492027867,-0.6982264106233425,-0.5514252545938327,-0.37164662907466833,-0.18538975130935886,"**"
"Statskog Røros","Lambda",8,-0.7327328298165647,-0.8689166460874224,-0.7830255652246991,-0.6833625379187518,-0.5938894337889808,"**"
"Statskog Røros","Recruitment",8,0.7738822478153382,0.53022705924437,0.6993621106354468,0.8354344624839907,0.9212860238754047,"**"
"Statskog Røros","Survival",8,-0.7650666122129725,-0.8939514939791364,-0.8131235504205683,-0.7128104060911538,-0.5937859845956169,"**"
"Steinkjer Lirype","Lambda",15,-0.2731663925255247,-0.35279231338898953,-0.29757418695571847,-0.2504369382146662,-0.21150512156209123,"**"
"Steinkjer Lirype","Recruitment",15,0.5972246676037549,0.3478485564256707,0.5271154154794129,0.6547196576663392,0.7467463135253409,"**"
"Steinkjer Lirype","Survival",15,-0.546903009337309,-0.6640604243967436,-0.5864393323681629,-0.5094449685932105,-0.4405191440972095,"**"
"Stjørdal Fjellstyre","Lambda",14,-0.454524524204436,-0.5970352561921324,-0.5050689648663471,-0.4014227439840064,-0.28899239983341635,"**"
"Stjørdal Fjellstyre","Recruitment",14,0.3918436177392466,0.19681297841192275,0.326773802466649,0.4571796297266817,0.5750533444553999,"**"
"Stjørdal Fjellstyre","Survival",14,-0.5181431208409988,-0.6422193993122972,-0.56211419627874,-0.4714801362169946,-0.368096341013318,"**"
"Vest Finnmark kyst","Lambda",15,-0.6575565984473528,-0.7169671165845783,-0.6781637030317809,-0.6362906873781081,-0.5959538546235499,"**"
"Vest Finnmark kyst","Recruitment",15,0.9006199961938224,0.8297691393302685,0.8790370493063318,0.9202244479690227,0.9484879191097024,"**"
"Vest Finnmark kyst","Survival",15,-0.8230013530464301,-0.888385111439468,-0.8464213558423984,-0.7989168482384066,-0.7531195508713845,"**"
"Vestre Slidre Fjellstyre","Lambda",13,-0.4434752931279953,-0.532553278504592,-0.4742816908043768,-0.41541519571150864,-0.36641702306220647,"**"
"Vestre Slidre Fjellstyre","Recruitment",13,0.06342946084122178,-0.14424862330590546,-0.008866942957525652,0.13806838829713397,0.27910666824433245,"-"
"Vestre Slidre Fjellstyre","Survival",13,-0.37733567295585224,-0.5015822192838926,-0.42033908801952696,-0.33074601785725244,-0.2376816696120735,"**"
"Ytre Salten","Lambda",13,-0.6202875564297171,-0.7383307970980844,-0.6591873535202651,-0.5828613120537289,-0.5163762908836218,"**"
"Ytre Salten","Recruitment",13,-0.25829202404504753,-0.48294467102893557,-0.337950966614874,-0.17173733859635162,5.461164456698345e-4,"*"
"Ytre Salten","Survival",13,-0.5663867779034981,-0.7029255451174524,-0.6147343127104674,-0.5172462987179405,-0.4200506509099705,"**"
